ID,cohort,trt,registered,activated,cluster,totalmins,logindays,loginwks,pageviews,posts,ptp,ate,totaldays,act_wkpv,dur_wkpv,act_ptp,dur_ptp,act_ate,dur_ate,sdwkpv,sdptp,sdate,rate_wkpv,rate_ptp,rate_ate
20,5.0,,,,1,212.55,13.0,8.0,243.0,2.0,1.0,1.0,108.0,8.0,17.0,1.0,1.0,1.0,1.0,23.926971,0.23570226,0.23570226,0.47058824,1.0,1.0
174,4.0,,,,1,341.4666666666666,15.0,12.0,398.0,4.0,3.0,1.0,109.0,12.0,17.0,3.0,6.0,1.0,1.0,28.21324,0.3834825,0.23570226,0.7058824,0.5,1.0
179,2.0,,,,1,481.4,17.0,11.0,852.0,4.0,3.0,1.0,100.0,11.0,15.0,2.0,3.0,1.0,1.0,63.902702,0.51449573,0.23570226,0.73333335,0.6666667,1.0
181,4.0,,,,1,2648.316666666667,28.0,15.0,933.0,1.0,1.0,0.0,119.0,15.0,18.0,1.0,1.0,0.0,0.0,52.193363,0.23570226,0.0,0.8333333,1.0,0.0
211,2.0,,,,1,40.5,4.0,4.0,83.0,0.0,2.0,0.0,86.0,4.0,11.0,1.0,1.0,0.0,0.0,12.86341,0.47140452,0.0,0.36363637,1.0,0.0
224,3.0,,,,1,136.9666666666667,20.0,15.0,430.0,3.0,3.0,0.0,124.0,15.0,18.0,3.0,6.0,0.0,0.0,42.008247,0.3834825,0.0,0.8333333,0.5,0.0
268,4.0,,,,1,131.0666666666667,6.0,4.0,195.0,1.0,1.0,0.0,71.0,4.0,6.0,1.0,1.0,0.0,0.0,26.391287,0.23570226,0.0,0.6666667,1.0,0.0
286,2.0,,,,1,206.25,19.0,13.0,698.0,3.0,3.0,0.0,126.0,11.0,17.0,2.0,2.0,0.0,0.0,49.351746,0.51449573,0.0,0.64705884,1.0,0.0
298,2.0,,,,1,30.46666666666667,5.0,4.0,36.0,2.0,2.0,0.0,38.0,4.0,6.0,2.0,2.0,0.0,0.0,3.172595,0.32338083,0.0,0.6666667,1.0,0.0
343,3.0,,,,1,173.1166666666666,16.0,8.0,335.0,4.0,4.0,0.0,125.0,8.0,18.0,2.0,2.0,0.0,0.0,48.381012,0.7320845,0.0,0.44444445,1.0,0.0
409,4.0,,,,1,347.8666666666667,12.0,2.0,344.0,10.0,10.0,0.0,36.0,6.0,6.0,3.0,4.0,0.0,0.0,38.487415,1.3814836,0.0,1.0,0.75,0.0
413,3.0,,,,1,83.45,12.0,8.0,365.0,2.0,2.0,0.0,124.0,8.0,18.0,2.0,13.0,0.0,0.0,28.375229,0.32338083,0.0,0.44444445,0.15384616,0.0
433,2.0,,,,1,603.3,15.0,5.0,650.0,3.0,3.0,0.0,121.0,5.0,16.0,2.0,2.0,0.0,0.0,79.949905,0.51449573,0.0,0.3125,1.0,0.0
1,2.0,,,,2,3.0,1.0,1.0,1.0,0.0,0.0,0.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.23570226,0.0,0.0,1.0,0.0,0.0
8,3.0,,,,2,4.95,1.0,1.0,4.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.94280905,0.0,0.0,1.0,0.0,0.0
21,4.0,,,,2,184.25,5.0,4.0,479.0,0.0,0.0,0.0,83.0,4.0,12.0,0.0,0.0,0.0,0.0,54.31622,0.0,0.0,0.33333334,0.0,0.0
29,4.0,,,,2,93.39999999999999,8.0,3.0,104.0,0.0,0.0,0.0,25.0,3.0,4.0,0.0,0.0,0.0,0.0,16.246468,0.0,0.0,0.75,0.0,0.0
37,4.0,,,,2,2.683333333333334,1.0,1.0,25.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,5.8925567,0.0,0.0,1.0,0.0,0.0
40,5.0,,,,2,175.35,1.0,1.0,35.0,0.0,0.0,0.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,8.249579,0.0,0.0,1.0,0.0,0.0
45,5.0,,,,2,6.133333333333334,1.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1785113,0.0,0.0,1.0,0.0,0.0
58,5.0,,,,2,88.91666666666667,4.0,2.0,221.0,0.0,0.0,0.0,83.0,2.0,13.0,0.0,0.0,0.0,0.0,36.48659,0.0,0.0,0.15384616,0.0,0.0
72,4.0,,,,2,6.966666666666667,1.0,1.0,22.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.1854496,0.0,0.0,1.0,0.0,0.0
79,4.0,,,,2,324.1,6.0,5.0,726.0,0.0,0.0,0.0,120.0,5.0,17.0,0.0,0.0,0.0,0.0,79.25165,0.0,0.0,0.29411766,0.0,0.0
95,5.0,,,,2,44.88333333333333,13.0,8.0,234.0,0.0,0.0,0.0,82.0,8.0,12.0,0.0,0.0,0.0,0.0,18.82114,0.0,0.0,0.6666667,0.0,0.0
97,3.0,,,,2,17.2,5.0,5.0,118.0,0.0,0.0,0.0,44.0,5.0,7.0,0.0,0.0,0.0,0.0,13.857349,0.0,0.0,0.71428573,0.0,0.0
99,5.0,,,,2,92.73333333333333,4.0,4.0,134.0,0.0,0.0,0.0,83.0,4.0,13.0,0.0,0.0,0.0,0.0,22.445286,0.0,0.0,0.30769232,0.0,0.0
100,3.0,,,,2,25.13333333333333,8.0,5.0,67.0,0.0,0.0,0.0,110.0,5.0,16.0,0.0,0.0,0.0,0.0,7.402746,0.0,0.0,0.3125,0.0,0.0
