variable,PC1_loading,PC2_loading,PC1_abs_loading,PC2_abs_loading,PC1_rank,PC2_rank,PC1_component_coefficient,PC2_component_coefficient
totalmins,0.885138,0.384088,0.885138,0.384088,5.000000,10.000000,0.244324,0.225110
logindays,0.947408,0.249781,0.947408,0.249781,1.000000,19.000000,0.261512,0.146394
loginwks,0.913929,0.352326,0.913929,0.352326,3.000000,13.000000,0.252271,0.206494
pageviews,0.864572,0.461922,0.864572,0.461922,6.000000,2.000000,0.238647,0.270728
posts,0.912507,-0.368269,0.912507,0.368269,4.000000,11.000000,0.251878,-0.215839
ptp,0.780224,-0.455113,0.780224,0.455113,14.000000,4.000000,0.215364,-0.266737
ate,0.827777,-0.323429,0.827777,0.323429,9.000000,15.000000,0.228491,-0.189558
totaldays,0.774107,0.548084,0.774107,0.548084,15.000000,1.000000,0.213676,0.321226
act_wkpv,0.919198,0.346949,0.919198,0.346949,2.000000,14.000000,0.253725,0.203343
dur_wkpv,0.842202,0.443581,0.842202,0.443581,7.000000,5.000000,0.232472,0.259978
act_ptp,0.791048,-0.429203,0.791048,0.429203,12.000000,7.000000,0.218352,-0.251551
dur_ptp,0.756464,-0.414675,0.756464,0.414675,16.000000,8.000000,0.208806,-0.243037
act_ate,0.812954,-0.266477,0.812954,0.266477,10.000000,17.000000,0.224399,-0.156179
dur_ate,0.783553,-0.257404,0.783553,0.257404,13.000000,18.000000,0.216283,-0.150862
sdwkpv,0.839380,0.435415,0.839380,0.435415,8.000000,6.000000,0.231693,0.255192
sdptp,0.742806,-0.457512,0.742806,0.457512,17.000000,3.000000,0.205036,-0.268142
sdate,0.800566,-0.359859,0.800566,0.359859,11.000000,12.000000,0.220980,-0.210910
rate_wkpv,0.499760,0.401175,0.499760,0.401175,20.000000,9.000000,0.137948,0.235124
rate_ptp,0.668719,-0.289567,0.668719,0.289567,19.000000,16.000000,0.184586,-0.169712
rate_ate,0.716803,-0.179630,0.716803,0.179630,18.000000,20.000000,0.197858,-0.105279
