replication,n_synthetic,synthetic_source,mechanism,target_missing_rate,observed_missing_rate,method,n_imputed_datasets,runtime_seconds,ari_true_gmm_vs_benchmark,ari_vs_full_data_kmeans,ari_vs_full_data_kmeans_within_variance,ari_vs_full_data_kmeans_between_variance,ari_vs_full_data_kmeans_total_variance,ari_vs_full_data_kmeans_rubin_se,ari_vs_full_data_kmeans_within_variance_available,centroid_error_mean,centroid_error_mean_within_variance,centroid_error_mean_between_variance,centroid_error_mean_total_variance,centroid_error_mean_rubin_se,centroid_error_mean_within_variance_available,centroid_error_max,centroid_error_max_within_variance,centroid_error_max_between_variance,centroid_error_max_total_variance,centroid_error_max_rubin_se,centroid_error_max_within_variance_available,cluster_size_error_mean_abs,cluster_size_error_mean_abs_within_variance,cluster_size_error_mean_abs_between_variance,cluster_size_error_mean_abs_total_variance,cluster_size_error_mean_abs_rubin_se,cluster_size_error_mean_abs_within_variance_available,silhouette,silhouette_within_variance,silhouette_between_variance,silhouette_total_variance,silhouette_rubin_se,silhouette_within_variance_available
1,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.1,0.098125,mice_pmm,10,13.863906970713288,0.948682665021949,0.9885003712672946,0.0,9.547510875533929e-06,1.0502261963087323e-05,0.003240719358890449,False,0.020242206653910213,0.0,8.906991493190207e-06,9.79769064250923e-06,0.003130126298172205,False,0.030746358802989267,0.0,6.582448617156969e-05,7.240693478872666e-05,0.00850922645066675,False,0.0006000000000000005,1.4252982e-05,8.888888888888904e-08,1.4350759777777778e-05,0.0037882396674151675,True,0.5643412488170183,3.390908133085836e-05,1.073940406807515e-06,3.5090415778346625e-05,0.005923716382335216,True
1,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.3,0.30135,mice_pmm,10,35.57457400811836,0.948682665021949,0.9200634884331187,0.0,5.98615414540524e-05,6.584769559945764e-05,0.008114659302734629,False,0.11022340588885882,0.0,8.014852140481695e-05,8.816337354529866e-05,0.00938953532105283,False,0.28587158248936406,0.0,0.0016602198144711848,0.0018262417959183034,0.04273455037692924,False,0.0035400000000000028,1.4292551000000002e-05,2.427111111111115e-06,1.696237322222223e-05,0.004118540180964881,True,0.522560147087872,2.6999291743248158e-05,1.3502792472544979e-05,4.1852363463047635e-05,0.006469340264899323,True
1,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.5,0.5032,mice_pmm,10,50.475730549078435,0.948682665021949,0.7711670724154096,0.0,0.00024711817167121023,0.0002718299888383313,0.01648726747639921,False,0.32627149959852303,0.0,0.0009702229278313475,0.0010672452206144823,0.032668719298657584,False,0.9085578460186279,0.0,0.012392940157686265,0.013632234173454893,0.11675715898160118,False,0.014079999999999999,1.4401417e-05,9.7262222222222e-06,2.5100261444444422e-05,0.005010016112194093,True,0.4467789784671088,1.685123097009613e-05,6.789327378724584e-05,9.153383213606655e-05,0.009567331505496532,True
2,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.1,0.099925,mice_pmm,10,13.964398542884737,0.948682665021949,0.9892221197563209,0.0,1.206864665601877e-05,1.3275511321620648e-05,0.0036435575090316124,False,0.020401924957473932,0.0,1.8286175678604348e-05,2.0114793246464785e-05,0.004484951866683163,False,0.03293315056292407,0.0,8.624900958934797e-05,9.487391054828278e-05,0.009740323944730112,False,0.0006200000000000005,1.4254708000000001e-05,1.3733333333333356e-07,1.4405774666666669e-05,0.0037954939950771453,True,0.5629523872678159,3.38231223239644e-05,1.6527687258204956e-06,3.564116792236694e-05,0.005970022439017038,True
2,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.3,0.300225,mice_pmm,10,38.3372426382266,0.948682665021949,0.9032331754147844,0.0,9.707320924206384e-05,0.00010678053016627024,0.01033346651256345,False,0.1203201631437393,0.0,0.0001205744796920158,0.0001326319276612174,0.011516593578885095,False,0.33865370958261776,0.0,0.0023620415071533844,0.002598245657868723,0.050972989493149434,False,0.0030400000000000023,1.4280068000000002e-05,1.4737777777777805e-06,1.590122355555556e-05,0.003987633829171826,True,0.5136084657390102,2.538548568653808e-05,2.154225591641595e-05,4.9081967194595627e-05,0.0070058523531827035,True
2,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.5,0.501325,mice_pmm,10,51.51134375017136,0.948682665021949,0.776261485936941,0.0,0.00045801595443840975,0.0005038175498822508,0.02244588046573916,False,0.2543534712015767,0.0,0.00016348127915055092,0.00017982940706560602,0.013410048734646941,False,0.6480960877486417,0.0,0.004333629487357129,0.004766992436092842,0.06904340979480114,False,0.005860000000000005,1.4276641000000002e-05,1.0667111111111116e-05,2.6010463222222228e-05,0.005100045413741159,True,0.46189952976286175,1.944414459003454e-05,2.8151963114023506e-05,5.0411304015460405e-05,0.007100091831480802,True
3,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.1,0.097575,mice_pmm,10,13.965968330856413,0.948682665021949,0.9861387297027839,0.0,3.827663651222789e-06,4.2104300163450685e-06,0.002051933238764134,False,0.020597647953325693,0.0,8.702180485269937e-06,9.572398533796932e-06,0.003093929303296527,False,0.041050559159184694,0.0,7.584763991265568e-05,8.343240390392125e-05,0.009134133998574864,False,0.0009800000000000006,1.4265140000000001e-05,6.622222222222234e-08,1.4337984444444445e-05,0.003786553108625897,True,0.5626066101270535,3.36334543369429e-05,8.278652475723245e-07,3.454410610927246e-05,0.005877423424364835,True
3,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.3,0.30315,mice_pmm,10,35.075319924391806,0.948682665021949,0.9104286039632171,0.0,0.00012917707127213139,0.00014209477839934455,0.011920351437744801,False,0.1246004915658084,0.0,0.00039147129819650927,0.00043061842801616024,0.020751347619279097,False,0.2853468513275293,0.0,0.004201933952204394,0.004622127347424834,0.06798622910137636,False,0.003820000000000003,1.4282364000000002e-05,2.457333333333338e-06,1.6985430666666673e-05,0.004121338455728512,True,0.5204019609686407,2.691361653654832e-05,4.287868479068805e-05,7.408016980630518e-05,0.008606983780994662,True
3,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.5,0.498175,mice_pmm,10,49.16495961416513,0.948682665021949,0.8015111139105956,0.0,0.0001681024997103298,0.0001849127496813628,0.01359826274497455,False,0.23323946892799557,0.0,0.00038561585170763846,0.00042417743687840235,0.020595568379590846,False,0.5204012349655464,0.0,0.0032039801946263367,0.003524378214088971,0.05936647382225906,False,0.010860000000000005,1.4358526999999999e-05,6.73822222222221e-06,2.177057144444443e-05,0.004665894495640084,True,0.4854175335315948,2.1146390285754975e-05,5.6936053371632375e-05,8.377604899455058e-05,0.009152925706819135,True
4,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.1,0.100125,mice_pmm,10,14.045653314329684,0.948682665021949,0.9826887773956544,0.0,6.615132451480145e-06,7.27664569662816e-06,0.0026975258472585876,False,0.03047297980526468,0.0,1.8376003390110714e-05,2.0213603729121787e-05,0.004495954151136529,False,0.06166458232600515,0.0,0.00012922655118604887,0.00014214920630465378,0.011922634201578684,False,0.0016800000000000016,1.4277538e-05,1.2622222222222247e-07,1.4416382444444446e-05,0.0037968911552011134,True,0.5613516516731794,3.325452153573607e-05,1.6632841400161638e-06,3.508413408975385e-05,0.00592318614343276,True
