replication,n_synthetic,synthetic_source,mechanism,target_missing_rate,observed_missing_rate,method,n_imputed_datasets,runtime_seconds,ari_true_gmm_vs_benchmark,ari_vs_full_data_kmeans,ari_vs_full_data_kmeans_within_variance,ari_vs_full_data_kmeans_between_variance,ari_vs_full_data_kmeans_total_variance,ari_vs_full_data_kmeans_rubin_se,ari_vs_full_data_kmeans_within_variance_available,centroid_error_mean,centroid_error_mean_within_variance,centroid_error_mean_between_variance,centroid_error_mean_total_variance,centroid_error_mean_rubin_se,centroid_error_mean_within_variance_available,centroid_error_max,centroid_error_max_within_variance,centroid_error_max_between_variance,centroid_error_max_total_variance,centroid_error_max_rubin_se,centroid_error_max_within_variance_available,cluster_size_error_mean_abs,cluster_size_error_mean_abs_within_variance,cluster_size_error_mean_abs_between_variance,cluster_size_error_mean_abs_total_variance,cluster_size_error_mean_abs_rubin_se,cluster_size_error_mean_abs_within_variance_available,silhouette,silhouette_within_variance,silhouette_between_variance,silhouette_total_variance,silhouette_rubin_se,silhouette_within_variance_available
1,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.1,0.09895,mice_pmm,10,14.202442592941225,0.948682665021949,0.9859204745026149,0.0,4.588754307334662e-06,5.047629738068129e-06,0.002246693067169641,False,0.04439025130281374,0.0,2.0980687990747054e-05,2.307875678982176e-05,0.004804035469251009,False,0.07620432364295293,0.0,0.00011480616239319646,0.00012628677863251613,0.011237739035611928,False,0.0016000000000000014,1.4265279999999997e-05,1.7777777777777813e-08,1.4284835555555552e-05,0.0037795284832311494,True,0.5646191173253635,3.476390581961792e-05,9.2225110097984e-07,3.577838203069574e-05,0.0059815033253100966,True
1,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.3,0.303475,mice_pmm,10,43.19214070914313,0.948682665021949,0.9536535959745382,0.0,5.288631594529448e-05,5.817494753982393e-05,0.007627250326285609,False,0.11817009155888006,0.0,0.00013660676624875732,0.00015026744287363305,0.012258362161138537,False,0.18116311499382917,0.0,0.00047588674425021155,0.0005234754186752327,0.022879585194562263,False,0.003420000000000003,1.4279274999999999e-05,5.551111111111121e-07,1.4889897222222222e-05,0.003858742958817317,True,0.5508566986094604,3.433724714786738e-05,3.1063137398640174e-06,3.7754192261717795e-05,0.006144444015671214,True
1,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.5,0.4979,mice_pmm,10,50.52814918383956,0.948682665021949,0.8925157532440553,0.0,7.352358160948482e-05,8.087593977043331e-05,0.008993105123950976,False,0.23064283283385717,0.0,0.0003617693737600315,0.0003979463111360347,0.019948591708088936,False,0.3698832180463428,0.0,0.0010112342667381578,0.0011123576934119737,0.03335202682614617,False,0.0049800000000000035,1.4144736e-05,3.506666666666667e-07,1.4530469333333334e-05,0.0038118852728450964,True,0.5279741157144776,3.600012323269242e-05,6.859455448960306e-06,4.354552422654876e-05,0.006598903259371875,True
2,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.1,0.103125,mice_pmm,10,15.03583220206201,0.948682665021949,0.9920789428557086,0.0,2.398882432411683e-06,2.638770675652851e-06,0.0016244293384610029,False,0.04046849378136405,0.0,3.830585687635402e-05,4.213644256398942e-05,0.006491258935213524,False,0.06798187915333126,0.0,0.0001265967441103722,0.00013925641852140943,0.011800695679552517,False,0.0005000000000000003,1.4247734e-05,9.111111111111126e-08,1.4347956222222223e-05,0.0037878696152616213,True,0.5652799724875819,3.508907799831696e-05,1.182613692088636e-06,3.6389953059614464e-05,0.006032408562059973,True
2,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.3,0.301925,mice_pmm,10,35.35829419689253,0.948682665021949,0.9394231220763446,0.0,3.456501548620214e-05,3.802151703482236e-05,0.0061661590179642916,False,0.14445956151513556,0.0,0.00040019780843171787,0.0004402175892748897,0.02098136290317885,False,0.2592926014752791,0.0,0.001824136931279546,0.0020065506244075007,0.04479453788585725,False,0.004060000000000001,1.4241343e-05,1.0226666666666683e-06,1.5366276333333333e-05,0.00391998422615874,True,0.5484314532717576,3.5076876684792315e-05,3.819695892621443e-06,3.92785421666759e-05,0.006267259541990893,True
2,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.5,0.504,mice_pmm,10,55.02120644971728,0.948682665021949,0.8892176070753193,0.0,1.7554792369046287e-05,1.9310271605950915e-05,0.004394345412681042,False,0.2222746737535406,0.0,0.00020621535942501323,0.00022683689536751457,0.015061105383321456,False,0.32114230411853173,0.0,0.0015475236420387187,0.0017022760062425908,0.041258647654068725,False,0.005740000000000004,1.4229065e-05,1.9026666666666698e-06,1.632199833333334e-05,0.004040049298379085,True,0.5255145044120072,3.369394454576333e-05,5.0660948707395325e-06,3.9266648903576814e-05,0.006266310629355747,True
3,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.1,0.0988,mice_pmm,10,14.243226130958647,0.948682665021949,0.9916265253550968,0.0,3.5014721166769914e-06,3.851619328344691e-06,0.001962554286725514,False,0.03557353914389074,0.0,1.7675967379137173e-05,1.9443564117050893e-05,0.004409485697567336,False,0.06311480861462296,0.0,5.771296869668936e-05,6.348426556635831e-05,0.00796770139791636,False,0.0005600000000000005,1.4242949000000001e-05,5.1555555555555644e-08,1.4299660111111112e-05,0.0037814891393617824,True,0.5663319715376631,3.5150324479241945e-05,4.7162910807534876e-07,3.566911649812483e-05,0.005972362723254912,True
3,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.3,0.2996,mice_pmm,10,34.50157240405679,0.948682665021949,0.9625124191972875,0.0,7.095395000314936e-05,7.80493450034643e-05,0.008834554035346906,False,0.10600736921746101,0.0,0.0001632236325422595,0.00017954599579648547,0.013399477444903793,False,0.17950362696239172,0.0,0.0009578102980654675,0.0010535913278720143,0.03245907158056149,False,0.002100000000000002,1.4215044000000002e-05,3.84444444444445e-07,1.4637932888888892e-05,0.0038259551603343307,True,0.5536344639846434,3.6129339933474455e-05,3.2231426427422753e-06,3.967479684049096e-05,0.006298793284470523,True
3,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.5,0.500725,mice_pmm,10,50.56171625806019,0.948682665021949,0.8874657012755837,0.0,2.3803924393374803e-05,2.6184316832712286e-05,0.005117061347366503,False,0.25372168710648046,0.0,0.00027789456018541975,0.00030568401620396175,0.017483821556054664,False,0.408863025510897,0.0,0.0027733246093214568,0.003050657070253603,0.055232753600138414,False,0.005040000000000001,1.4176468e-05,6.6488888888889e-07,1.4907845777777778e-05,0.0038610679581921087,True,0.5217383095229786,3.547945769333839e-05,1.6489876625125542e-05,5.361832198097649e-05,0.00732245327612109,True
4,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.1,0.0997,mice_pmm,10,14.353630302008241,0.948682665021949,0.9849904643722948,0.0,1.3452806856756566e-05,1.4798087542432225e-05,0.003846828244467411,False,0.03978268985447201,0.0,0.00010437604547560588,0.00011481365002316648,0.010715113159606224,False,0.052785913770612314,0.0,0.00020070031970947794,0.00022077035168042576,0.01485834283089557,False,0.0017800000000000016,1.4271505e-05,4.4844444444444527e-07,1.4764793888888891e-05,0.0038424983915271702,True,0.5635914273270677,3.482651258730255e-05,1.2701733536191363e-06,3.62237032762836e-05,0.006018613069161665,True
