replication,n_synthetic,synthetic_source,mechanism,target_missing_rate,observed_missing_rate,method,n_imputed_datasets,runtime_seconds,ari_true_gmm_vs_benchmark,ari_vs_full_data_kmeans,ari_vs_full_data_kmeans_within_variance,ari_vs_full_data_kmeans_between_variance,ari_vs_full_data_kmeans_total_variance,ari_vs_full_data_kmeans_rubin_se,ari_vs_full_data_kmeans_within_variance_available,centroid_error_mean,centroid_error_mean_within_variance,centroid_error_mean_between_variance,centroid_error_mean_total_variance,centroid_error_mean_rubin_se,centroid_error_mean_within_variance_available,centroid_error_max,centroid_error_max_within_variance,centroid_error_max_between_variance,centroid_error_max_total_variance,centroid_error_max_rubin_se,centroid_error_max_within_variance_available,cluster_size_error_mean_abs,cluster_size_error_mean_abs_within_variance,cluster_size_error_mean_abs_between_variance,cluster_size_error_mean_abs_total_variance,cluster_size_error_mean_abs_rubin_se,cluster_size_error_mean_abs_within_variance_available,silhouette,silhouette_within_variance,silhouette_between_variance,silhouette_total_variance,silhouette_rubin_se,silhouette_within_variance_available
1,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.1,0.101075,mice_pmm,10,14.227467104792595,0.948682665021949,0.9917595410078641,0.0,9.6516856949666e-06,1.061685426446326e-05,0.0032583514642320678,False,0.036988890819239624,0.0,2.6176821968564283e-05,2.8794504165420714e-05,0.005366051077414444,False,0.05573571933372949,0.0,0.00014686305008356182,0.000161549355091918,0.012710206728921368,False,0.0006200000000000005,1.4259884e-05,2.2622222222222265e-07,1.4508728444444446e-05,0.0038090324814110533,True,0.562780122038681,3.300636369877364e-05,8.138299432850239e-07,3.3901576636387165e-05,0.005822506044340973,True
1,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.3,0.2999,mice_pmm,10,37.15324736200273,0.948682665021949,0.9343832548467604,0.0,8.319022146521195e-05,9.150924361173316e-05,0.009566046393977668,False,0.1891306232595098,0.0,0.00015396109810669316,0.0001693572079173625,0.01301373151395719,False,0.3451278522567675,0.0,0.0013963598437539493,0.0015359958281293445,0.039191782660773986,False,0.0022800000000000016,1.4211335999999999e-05,1.8951111111111149e-06,1.6295958222222224e-05,0.004036825265257616,True,0.5242770958686273,2.6484038656380366e-05,3.355953696398024e-05,6.339952931675863e-05,0.007962382138327614,True
1,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.5,0.49955,mice_pmm,10,51.903321909252554,0.948682665021949,0.7676862533609252,0.0,0.0009763400283714246,0.001073974031208567,0.03277154300927204,False,0.5373774461186656,0.0,0.004060353192480316,0.004466388511728347,0.06683104452070421,False,1.179514991305958,0.0,0.054333342244175804,0.05976667646859339,0.24447224069123552,False,0.005560000000000001,1.4254688e-05,1.4362666666666657e-05,3.0053621333333327e-05,0.0054821183253677885,True,0.44234587677942694,1.63288913396511e-05,0.00016396504933490928,0.00019669044560805132,0.014024637093631026,True
2,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.1,0.101475,mice_pmm,10,14.460169492755085,0.948682665021949,0.9892120747901357,0.0,1.661466431760638e-05,1.827613074936702e-05,0.0042750591515635225,False,0.03914514019079489,0.0,2.0701156033451016e-05,2.2771271636796118e-05,0.004771925359516442,False,0.09692771845901231,0.0,0.00030404427101230196,0.0003344486981135322,0.018287938596614223,False,0.0005000000000000004,1.4240274000000002e-05,1.2666666666666687e-07,1.4379607333333336e-05,0.0037920452704752004,True,0.5684415382394322,3.3856883586401083e-05,7.541177414550006e-07,3.468641310200159e-05,0.0058895172214708386,True
2,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.3,0.2985,mice_pmm,10,35.96235056594014,0.948682665021949,0.9299280107276416,0.0,8.035395640150904e-05,8.838935204165995e-05,0.009401561149174106,False,0.2061740402173994,0.0,0.0002566901745253762,0.00028235919197791386,0.016803547005853077,False,0.35591108512032693,0.0,0.0006605235663088583,0.0007265759229397442,0.02695507230447999,False,0.0017600000000000016,1.422432e-05,1.39377777777778e-06,1.575747555555556e-05,0.003969568686338046,True,0.5204403661660024,2.5752132399685487e-05,3.0692955537617215e-05,5.9514383491064425e-05,0.007714556597178118,True
2,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.5,0.499175,mice_pmm,10,48.17438635509461,0.948682665021949,0.7980422711984005,0.0,0.0001300836008206703,0.00014309196090273735,0.011962105203631062,False,0.5234122069820065,0.0,0.001396117739763521,0.0015357295137398731,0.03918838493405761,False,1.1187364936612816,0.0,0.01871886753896147,0.02059075429285762,0.14349478838221832,False,0.007600000000000003,1.4335780999999997e-05,1.0462222222222246e-05,2.584422544444447e-05,0.0050837216135862975,True,0.44848247615899994,1.659755789247702e-05,3.816206950314853e-05,5.85758343459404e-05,0.007653485111107253,True
3,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.1,0.098925,mice_pmm,10,14.200726844836026,0.948682665021949,0.986915292011803,0.0,6.707906396991002e-06,7.378697036690103e-06,0.0027163757171440963,False,0.038456651379165346,0.0,3.6661430638394485e-05,4.0327573702233935e-05,0.0063503994915464915,False,0.07597490725119939,0.0,7.679811362222864e-05,8.447792498445151e-05,0.009191187354441835,False,0.0005200000000000004,1.4248424e-05,1.70666666666667e-07,1.4436157333333333e-05,0.003799494352322863,True,0.5627201092402343,3.3041647767630684e-05,2.1033992253211298e-06,3.535538691548393e-05,0.005946039599219292,True
3,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.3,0.303225,mice_pmm,10,35.87312801228836,0.948682665021949,0.9266115357260934,0.0,8.143260809780288e-05,8.957586890758318e-05,0.00946445291116096,False,0.2098801222750283,0.0,0.000124288112819548,0.0001367169241015028,0.011692601254703883,False,0.3782882244005119,0.0,0.0019408662997127775,0.0021349529296840553,0.04620555085359394,False,0.0020800000000000016,1.4211118000000001e-05,1.7795555555555586e-06,1.6168629111111115e-05,0.004021023391017654,True,0.5138108944694447,2.447598734614475e-05,2.456623790605374e-05,5.1498849042803864e-05,0.007176269855767958,True
3,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.5,0.5013,mice_pmm,10,59.480033338069916,0.948682665021949,0.7319592326642018,0.0,0.0004064935751765542,0.00044714293269420966,0.02114575448391969,False,0.5995543516508561,0.0,0.0021946848656612394,0.0024141533522273636,0.049134034560855716,False,1.420473214066087,0.0,0.02591736525511716,0.02850910178062888,0.16884638515712702,False,0.005280000000000002,1.4248959000000001e-05,1.0010666666666682e-05,2.5260692333333355e-05,0.0050260016248836765,True,0.4301509296402413,1.4614200803834062e-05,7.23072942405896e-05,9.415222446848262e-05,0.009703206916709683,True
4,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.1,0.098225,mice_pmm,10,14.123838323634118,0.948682665021949,0.9885660217016801,0.0,1.0085818279254974e-05,1.1094400107180473e-05,0.0033308257395397427,False,0.026872474031211034,0.0,1.2377541080421044e-05,1.361529518846315e-05,0.0036898909453347193,False,0.03831653920164981,0.0,6.935967184097384e-05,7.629563902507124e-05,0.008734737490335428,False,0.0008600000000000007,1.4238901e-05,2.7111111111111164e-08,1.4268723222222222e-05,0.003777396354927852,True,0.5644408880900811,3.374076786491176e-05,1.0757837727274077e-06,3.492413001491191e-05,0.005909664120312753,True
4,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.3,0.3027,mice_pmm,10,35.46307688532397,0.948682665021949,0.9327335402960678,0.0,4.277999977917684e-05,4.705799975709453e-05,0.006859883363228163,False,0.18487183046612213,0.0,0.0002815606667640882,0.00030971673344049706,0.017598770793453077,False,0.31951309531520217,0.0,0.0013181710480301555,0.0014499881528331712,0.03807870996808021,False,0.0027800000000000025,1.4213952000000002e-05,1.764000000000004e-06,1.6154352000000008e-05,0.00401924769079986,True,0.525083163922839,2.659939144339747e-05,2.19352631029579e-05,5.072818085665116e-05,0.0071223718561060235,True
4,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.5,0.5028,mice_pmm,10,53.44183198874816,0.948682665021949,0.7472422792428832,0.0,0.0002654728174082923,0.00029202009914912157,0.017088595587382877,False,0.5955513004420345,0.0,0.002089592486888472,0.0022985517355773198,0.04794321365508699,False,1.6341613839432463,0.0,0.025940835792840768,0.028534919372124847,0.168922820755885,False,0.01118,1.4403334000000001e-05,1.0617333333333302e-05,2.6082400666666632e-05,0.005107093171919486,True,0.415192285000622,1.3764811368538508e-05,5.038928570094119e-05,6.919302563957382e-05,0.008318234526603215,True
5,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.1,0.0991,mice_pmm,10,14.14553579222411,0.948682665021949,0.9848443796045618,0.0,1.0412483252963946e-05,1.1453731578260342e-05,0.0033843362094006474,False,0.06859346623626905,0.0,0.00017531451343895548,0.00019284596478285105,0.013886899034084285,False,0.11714987794656004,0.0,0.0002826856296301672,0.0003109541925931839,0.017633893290852815,False,0.001040000000000001,1.4250131000000002e-05,2.0266666666666703e-07,1.4473064333333337e-05,0.0038043480825672798,True,0.5628696564439005,3.313694957242413e-05,8.669775079678257e-07,3.409062483118874e-05,0.005838717738612541,True
5,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.3,0.29885,mice_pmm,10,35.76166278636083,0.948682665021949,0.9376358269945474,0.0,2.931909220389184e-05,3.225100142428102e-05,0.005678996515607403,False,0.18150290948528663,0.0,0.0002719062916256685,0.00029909692078823537,0.017294418775669663,False,0.2865756070499307,0.0,0.0006436988058873097,0.0007080686864760408,0.026609560057919802,False,0.0025200000000000023,1.4219713999999997e-05,1.1395555555555576e-06,1.547322511111111e-05,0.003933602052967625,True,0.5273961692299447,2.6760845353424263e-05,1.1953825734207738e-05,3.9910053661052777e-05,0.0063174404358927495,True
5,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.5,0.503375,mice_pmm,10,50.98004663409665,0.948682665021949,0.8178379436023417,0.0,0.0007649326267888785,0.0008414258894677664,0.02900734199246402,False,0.46889841714718256,0.0,0.001992857994620606,0.002192143794082667,0.04682033526239071,False,0.9166597977664243,0.0,0.04611520272662565,0.05072672299928822,0.22522593766990562,False,0.004020000000000004,1.4290631e-05,1.0021777777777795e-05,2.5314586555555576e-05,0.005031360308659635,True,0.4606054442209784,1.778342491096441e-05,0.0002617743308541257,0.00030573518885050274,0.01748528492334348,True
6,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.1,0.10165,mice_pmm,10,14.581640681251884,0.948682665021949,0.9895449193408326,0.0,1.313927084507343e-05,1.4453197929580774e-05,0.0038017361730636667,False,0.03848175242788819,0.0,3.675513346018026e-05,4.043064680619829e-05,0.006358509794456425,False,0.08157537661619726,0.0,0.00020849687822012294,0.00022934656604213527,0.015144192485640667,False,0.0006200000000000005,1.4240238000000002e-05,1.462222222222225e-07,1.4401082444444446e-05,0.003794875814100436,True,0.5637907984055553,3.326552062506441e-05,1.6764404040492636e-06,3.5109605069518597e-05,0.005925335861326225,True
