source_summary,mechanism,target_missing_rate,method,mean_ari,sd_ari,mean_ari_rubin_se,mean_centroid_error,mean_centroid_error_rubin_se,mean_cluster_size_error,mean_cluster_size_error_rubin_se,mean_silhouette,mean_silhouette_rubin_se,mean_runtime_seconds
simulation_summary_knn.csv,MAR,0.1,knn,0.985193598,0.005266202,,0.017689106,,0.001,,0.571996453,,0.145862957
simulation_summary_kpod.csv,MAR,0.1,kpod,0.948980732,0.009143133,,0.061147013,,0.00241,,0.572843862,,0.860750026
simulation_summary_median.csv,MAR,0.1,median,0.90883729,0.018506442,,0.347354003,,0.0072876,,0.390606455,,0.003645217
simulation_summary_mice_pmm.csv,MAR,0.1,mice_pmm,0.983762865,0.004039392,0.003586452,0.024924577,0.004521412,0.00130932,0.003814001,0.562245032,0.005926702,30.16024264
simulation_summary_random_forest.csv,MAR,0.1,random_forest,0.991916452,0.003153056,,0.011558669,,0.0005488,,0.56998322,,6.117073078
simulation_summary_knn.csv,MAR,0.2,knn,0.863950781,0.023532532,,0.128053756,,0.0165848,,0.498000876,,0.222810375
simulation_summary_kpod.csv,MAR,0.2,kpod,0.822810982,0.022806897,,0.195691711,,0.0073524,,0.55228343,,1.24824314
simulation_summary_median.csv,MAR,0.2,median,0.75809458,0.026525966,,0.690710173,,0.0162232,,0.302029538,,0.003686378
simulation_summary_mice_pmm.csv,MAR,0.2,mice_pmm,0.956630363,0.006248092,0.005858715,0.064140588,0.007412596,0.00299628,0.003881042,0.544556989,0.005999423,48.30769247
simulation_summary_random_forest.csv,MAR,0.2,random_forest,0.982284572,0.004982004,,0.019858065,,0.0010676,,0.569283021,,7.452574787
simulation_summary_knn.csv,MAR,0.3,knn,0.74318267,0.029921052,,0.297489504,,0.0309848,,0.394864445,,0.368690712
simulation_summary_kpod.csv,MAR,0.3,kpod,0.651607959,0.024569632,,0.399455832,,0.0096632,,0.518241348,,1.516111871
simulation_summary_median.csv,MAR,0.3,median,0.600941835,0.024600575,,1.00033445,,0.0174608,,0.243430418,,0.003716257
simulation_summary_mice_pmm.csv,MAR,0.3,mice_pmm,0.908457854,0.009519029,0.009310905,0.121885407,0.011880951,0.0044942,0.004074024,0.517761893,0.006488057,61.74686942
simulation_summary_random_forest.csv,MAR,0.3,random_forest,0.96230144,0.00908068,,0.033123252,,0.0025428,,0.566610024,,8.237691411
simulation_summary_knn.csv,MAR,0.4,knn,0.512679096,0.02543358,,0.570697273,,0.0552828,,0.296223845,,0.510694704
simulation_summary_kpod.csv,MAR,0.4,kpod,0.501475478,0.025163506,,0.646500593,,0.0097888,,0.490741334,,1.660686462
simulation_summary_median.csv,MAR,0.4,median,0.469548173,0.02390358,,1.316217599,,0.0131644,,0.207785101,,0.003739262
