mechanism,target_missing_rate,method,mean_ari,sd_ari,mean_centroid_error,mean_cluster_size_error,mean_silhouette,mean_runtime_seconds
MAR,0.1,knn,0.9851935982295219,0.00526620222160259,0.01768910642978069,0.0010000000000000009,0.571996452980526,0.1458629567399621
MAR,0.2,knn,0.8639507810821052,0.02353253245670736,0.12805375615523198,0.016584799999999993,0.4980008759292507,0.22281037463340908
MAR,0.3,knn,0.7431826698955665,0.02992105163063755,0.29748950361765447,0.030984800000000003,0.3948644446621842,0.36869071202352643
MAR,0.4,knn,0.5126790955376551,0.025433579601219513,0.5706972733791168,0.0552828,0.2962238448346302,0.5106947037223727
MAR,0.5,knn,0.4146860595156036,0.027151815160511954,0.8333923940789277,0.0308796,0.2133383024140103,0.5734046180415898
MCAR,0.1,knn,0.9908701724277685,0.0035335666960190615,0.03727540242096377,0.0010144000000000008,0.5767074301457545,0.17096844931133093
MCAR,0.2,knn,0.9761639416181594,0.00545557601270344,0.0685642086479633,0.0016276000000000014,0.579931193396336,0.23246486148238182
MCAR,0.3,knn,0.9466991601681854,0.00929866536449062,0.1805571492595372,0.0026204000000000023,0.5511541263331954,0.29219528593122956
MCAR,0.4,knn,0.9062588859513742,0.011009923050712491,0.44183100036680184,0.004945200000000004,0.4780312075752308,0.3437313618743792
MCAR,0.5,knn,0.8115256364768206,0.014846917570425585,0.8715354767705294,0.007226800000000004,0.35329789456856403,0.43844899244885893
MNAR,0.1,knn,0.9887070768784425,0.0038718560014741337,0.03861634611817701,0.0007440000000000006,0.5726518754694551,0.1585043841470033
MNAR,0.2,knn,0.9018252506821655,0.02448116213592359,0.17066694700560697,0.0113868,0.49258448643780733,0.22376881556585432
MNAR,0.3,knn,0.627725416314029,0.02242708234300897,0.44472154608493664,0.0443172,0.36679006486995613,0.3058819341454655
MNAR,0.4,knn,0.4459779543279896,0.008193173819399864,0.6983686013856586,0.06921240000000001,0.2962997425962267,0.427696231787093
MNAR,0.5,knn,0.3970913243621749,0.004525267738926905,0.8851161752404297,0.06759399999999999,0.23766540458873972,0.5211925262510777
