mechanism,target_missing_rate,method,mean_ari,sd_ari,mean_ari_rubin_se,mean_centroid_error,mean_centroid_error_rubin_se,mean_cluster_size_error,mean_cluster_size_error_rubin_se,mean_silhouette,mean_silhouette_rubin_se,mean_runtime_seconds
MAR,0.1,mice_pmm,0.983762865,0.004039392,0.003586452,0.024924577,0.004521412,0.00130932,0.003814001,0.562245032,0.005926702,30.16024264
MAR,0.2,mice_pmm,0.956630363,0.006248092,0.005858715,0.064140588,0.007412596,0.00299628,0.003881042,0.544556989,0.005999423,48.30769247
MAR,0.3,mice_pmm,0.908457854,0.009519029,0.009310905,0.121885407,0.011880951,0.0044942,0.004074024,0.517761893,0.006488057,61.74686942
MAR,0.4,mice_pmm,0.859407512,0.012965375,0.012893101,0.186154604,0.016830513,0.00724372,0.004346934,0.493426818,0.007604111,72.74075479
MAR,0.5,mice_pmm,0.780136209,0.018389507,0.016374709,0.280470767,0.023634449,0.0099338,0.004762881,0.461436139,0.008937516,78.60715809
MCAR,0.1,mice_pmm,0.988121659,0.003565334,0.003132964,0.041864975,0.006271995,0.00108152,0.003802764,0.564753541,0.005988128,32.29803392
MCAR,0.2,mice_pmm,0.973734771,0.004761261,0.004473036,0.079603307,0.009478959,0.0020754,0.003832453,0.558594735,0.006092729,49.19516534
MCAR,0.3,mice_pmm,0.954599096,0.006204257,0.006145451,0.12352784,0.012201886,0.00324448,0.003881214,0.549988236,0.006247961,65.7546009
MCAR,0.4,mice_pmm,0.927126591,0.007056321,0.00795506,0.178809402,0.015130086,0.00474432,0.003937961,0.53898572,0.006491825,73.93438834
MCAR,0.5,mice_pmm,0.885926093,0.008762312,0.010091589,0.24390953,0.019345802,0.00630004,0.004020194,0.525398974,0.006860698,83.65091364
MNAR,0.1,mice_pmm,0.990257964,0.002577893,0.002614999,0.041902066,0.005323127,0.00062996,0.003791695,0.565037296,0.00592092,32.16605672
MNAR,0.2,mice_pmm,0.969401994,0.004763406,0.004602623,0.10222849,0.009133689,0.0014462,0.003836512,0.548767894,0.006116985,49.91634292
MNAR,0.3,mice_pmm,0.93167015,0.008174601,0.008024944,0.182750743,0.015207164,0.00303544,0.003984707,0.523837891,0.007022729,65.64256883
MNAR,0.4,mice_pmm,0.891678702,0.012670234,0.011867553,0.288390594,0.024204041,0.00345068,0.004162055,0.49915726,0.008626316,75.31369607
MNAR,0.5,mice_pmm,0.773076284,0.033375809,0.02085894,0.549885721,0.046623071,0.00748544,0.005136601,0.439392703,0.010619354,83.80325699
