mechanism,target_missing_rate,method,mean_ari,sd_ari,mean_centroid_error,mean_cluster_size_error,mean_silhouette,mean_runtime_seconds
MAR,0.1,kpod,0.9457713342386476,0.02781619952369903,0.10924819150519947,0.00428235294117647,0.5663917205208264,0.37814785943226886
MAR,0.2,kpod,0.8295553786998878,0.05190211208780028,0.21576999037193625,0.010011764705882355,0.5502088076135907,0.5520183935677633
MAR,0.3,kpod,0.6660896163892535,0.06934394354806134,0.38768357181699226,0.020137254901960784,0.5164825905539774,0.799630435695406
MAR,0.4,kpod,0.5538238273644764,0.06354102306388328,0.596810105922126,0.035031372549019606,0.5020313885939579,1.168463474017568
MAR,0.5,kpod,0.4890220185141482,0.043091703309809534,1.605196374589033,0.08339607843137256,0.5479358259986273,1.2609456240478902
MCAR,0.1,kpod,0.9667641801787805,0.022679200381208305,0.19359165129926836,0.004666666666666666,0.5827833206235452,0.33015906675439327
MCAR,0.2,kpod,0.9161799938664681,0.032156820201083666,0.34781893898098243,0.010047058823529412,0.5953662825421998,0.42389009431609886
MCAR,0.3,kpod,0.8555443262843386,0.04278525487164065,0.5111362555069571,0.015784313725490197,0.6043361512214864,0.5574206465845928
MCAR,0.4,kpod,0.7719530819611476,0.05370295034698957,0.8018269102958429,0.025368627450980393,0.6092067163045256,0.8229173240535893
MCAR,0.5,kpod,0.6688864509005951,0.060990977609755144,1.2172415000340207,0.03771764705882353,0.6111746804515785,1.3179134522462264
MNAR,0.1,kpod,0.9511558297194361,0.026755713188631326,0.18691696410015585,0.004078431372549021,0.5675382472034722,0.4071411770428531
MNAR,0.2,kpod,0.8048032615999363,0.0785457220885435,0.4030494512487662,0.015364705882352944,0.5369233360669708,0.5998532319315709
MNAR,0.3,kpod,0.5975414812452381,0.08987021998753328,0.7472053333214949,0.023258823529411762,0.48237987430333357,0.7908212181488052
MNAR,0.4,kpod,0.5204119464182086,0.06529303564011617,1.103613781315435,0.049423529411764706,0.504642834167827,0.9916764132548124
MNAR,0.5,kpod,0.512431240361864,0.03622106439010868,2.4025661344014466,0.09583921568627451,0.5623917760936777,1.1312403603335843
