mechanism,target_missing_rate,method,mean_ari,sd_ari,mean_centroid_error,mean_cluster_size_error,mean_silhouette,mean_runtime_seconds
MAR,0.1,median,0.9155522316554427,0.007003329502529129,0.3368944181256903,0.005861440000000002,0.39282148080119783,0.007445761631242931
MAR,0.2,median,0.7787119027732984,0.015987865976418852,0.6663367868234731,0.011675040000000001,0.3057732499990421,0.007555937729775906
MAR,0.3,median,0.5861477825401614,0.02116198707172031,1.0148039561711122,0.02330256,0.23606405008848616,0.007621528184041381
MAR,0.4,median,0.45803933929784696,0.012797430107535878,1.3271628569579443,0.01919888,0.19921701117758062,0.007656495170667767
MAR,0.5,median,0.4825838444124652,0.03193992168565055,2.5841496123758945,0.09571056,0.3985016669891459,0.0076181175857782365
MCAR,0.1,median,0.9519171892110542,0.004309963069925414,0.4423509677887849,0.0027497599999999982,0.43803416212924234,0.007391379727050662
MCAR,0.2,median,0.9144379885669793,0.005846059478454873,0.8635234459397183,0.005887039999999998,0.36496466202305783,0.007514563427306712
MCAR,0.3,median,0.8671830757326408,0.007808906317601746,1.2647047845163417,0.010508159999999999,0.31369730212954655,0.007567143824882805
MCAR,0.4,median,0.8090116471504004,0.008916144920570742,1.6582786070244493,0.016448959999999995,0.2760965270047074,0.0076168688414618374
MCAR,0.5,median,0.7345487245498311,0.010291021025518423,2.0537528895460815,0.024428159999999994,0.2498084836136451,0.00758319494035095
MNAR,0.1,median,0.9023916180643391,0.009386498341609891,0.38035421574799977,0.006540640000000002,0.3809250819907594,0.007451536972075701
MNAR,0.2,median,0.6644047675374335,0.025914527158221852,0.7913309292947406,0.031080800000000002,0.2741773199199718,0.007575194358825684
MNAR,0.3,median,0.46882043034584614,0.010006347473781756,1.12845544257319,0.05369008,0.20628184097029242,0.007630189562216401
MNAR,0.4,median,0.4069440881641927,0.003979299924601901,1.3745557039904608,0.04994416,0.18167422581576262,0.007663185015320778
MNAR,0.5,median,0.5312957318396624,0.0025800350075193376,2.713498854243686,0.10102544,0.46518690905704513,0.007631470509804786
