mechanism,target_missing_rate,method,mean_ari,sd_ari,mean_ari_rubin_se,mean_centroid_error,mean_centroid_error_rubin_se,mean_cluster_size_error,mean_cluster_size_error_rubin_se,mean_silhouette,mean_silhouette_rubin_se,mean_runtime_seconds
MCAR,0.1,mice_pmm,0.988163434,0.002001338,0.0018686,0.028188867,0.003228578,0.00076248,0.002402078,0.561267697,0.00365524,127.5780743
MCAR,0.2,mice_pmm,0.974263661,0.002980456,0.002738152,0.05658777,0.005224493,0.001623296,0.002425861,0.556009598,0.003723718,219.7872934
MCAR,0.3,mice_pmm,0.956424862,0.003322425,0.003726999,0.092529762,0.007282775,0.002568048,0.00245699,0.548763476,0.003830864,287.1793524
MCAR,0.4,mice_pmm,0.931842044,0.004420452,0.004581953,0.138194138,0.008988374,0.003645344,0.002479569,0.539467807,0.003975887,330.1106553
MCAR,0.5,mice_pmm,0.895869776,0.005058193,0.005797953,0.193767777,0.011456818,0.00486,0.002499211,0.528695038,0.004247949,349.0801588
MAR,0.1,mice_pmm,0.983943471,0.002467233,0.002228046,0.019151257,0.00292585,0.001068096,0.002414176,0.559333781,0.003624139,144.2030737
MAR,0.2,mice_pmm,0.959049481,0.003654379,0.003625153,0.050645703,0.004913464,0.002299984,0.00245966,0.545178264,0.003721338,248.2717975
MAR,0.3,mice_pmm,0.930103271,0.004916412,0.005108322,0.086742962,0.006798148,0.003164416,0.002524818,0.529659608,0.004159611,325.1502627
MAR,0.4,mice_pmm,0.895259332,0.006159803,0.006772638,0.130017073,0.008519485,0.004217904,0.002602009,0.513806554,0.004725897,373.3586456
MAR,0.5,mice_pmm,0.829294886,0.009184381,0.009266519,0.201692516,0.013292426,0.005131696,0.002790052,0.487386923,0.006127253,395.8267789
